frequency,location,lat,lon,mode,alphatag
423.95,BUNNALOO,-35.781038,144.593693,10K1F9W,
426.275,STATEWIDE,0.0,0.0,10K1F3E,
421.8,WANGANELLA,-35.054370,144.814363,10K1F9W,
421.7875,URANA,-35.268320,146.382010,10K1F9W,
421.95,DARLINGTON POINT,-34.576441,145.486078,10K1F9W,
423.975,MAUDE,-34.643357,144.196121,10K1F9W,
421.7625,HAY,-34.461997,144.848453,10K1F9W,
413.4,STATEWIDE,0.0,0.0,10K1F9W,
413.4125,STATEWIDE,0.0,0.0,10K1F9W,
421.9375,FINLEY,-35.6586,145.5668,10K1F9W,
423.9625,KYEAMBA,-35.494368,147.612125,10K1F9W,
423.825,MOULAMEIN,-35.075451,144.035401,10K1F9W,
421.95,COOLAMON,-34.805610,147.196879,10K1F9W,
421.8875,RANKIN SPRINGS,-33.839107,146.217385,10K1F9W,
421.9375,NARRANDERA,-34.553025,146.610701,10K1F9W,
422.6125,STATEWIDE,0.0,0.0,10K1F9W,
426.275,STATEWIDE,0.0,0.0,10K1F9W,
423.775,TUMUT,-35.360421,148.216558,10K1F9W,
423.9875,JUNEE,-34.875275,147.576437,10K1F9W,
421.8625,DENILIQUIN,-35.537275,144.944354,10K1F9W,
421.8,TOOMA,-35.898127,147.9491,10K1F9W,
415.45,STATEWIDE,0.0,0.0,10K1F3E,
421.8625,COOKARDINIA,-35.556533,147.170655,10K1F9W,
421.9125,WALBUNDRIE,-35.721645,146.590321,10K1F9W,
421.8875,MOAMA,-36.031309,144.797561,10K1F9W,
423.7875,ONE TREE,-34.214960,145.197179,10K1F9W,
421.8125,SPRINGDALE HEIGHTS,-36.020257,146.961538,10K1F9W,
423.7875,MULWALA,-35.997808,145.996998,10K1F9W,
421.7375,MT GININI,-35.529552,148.772605,10K1F9W,
421.825,JERILDERIE,-35.358671,145.718304,10K1F9W,
423.975,EUBERTA,-35.073466,147.271995,10K1F9W,
423.8375,HAY SOUTH,-34.655980,144.955450,10K1F9W,
421.775,TURVEY PARK,-35.132713,147.372072,10K1F9W,
423.95,DARLINGTON POINT,-34.648569,146.034012,10K1F9W,
467.25,MOUNT PERISHER,-36.409247,148.386895,16K0F3E,
415.45,STATEWIDE,0.0,0.0,10K1F9W,
414.475,STATEWIDE,0.0,0.0,10K1F9W,
415.4125,STATEWIDE,0.0,0.0,10K1F9W,
423.9,MT RAVEN,-35.802163,147.254039,10K1F9W,
421.825,MT YOUNGAL,-36.394897,148.118761,10K1F9W,
421.7875,SWAN HILL,-35.332614,143.612642,10K1F9W,
421.7625,KYEAMBA,-35.494368,147.612125,10K1F9W,
423.8875,TALBINGO,-35.6163,148.331463,10K1F9W,
426.0125,STATEWIDE,0.0,0.0,10K1F3E,
421.825,COOTAMUNDRA,-34.629463,148.092289,10K1F9W,
421.85,BETHUNGRA,-34.820303,147.901399,10K1F9W,
422.2375,STATEWIDE,0.0,0.0,10K1F9W,
468.0125,STATEWIDE,0.0,0.0,10K1F3E,
421.875,BARNAWATHA NORTH,-36.107324,146.730258,10K1F9W,
421.775,HARTWOOD,-35.366072,145.324627,10K1F9W,
421.8625,WAUGORAH,-34.489766,143.849585,10K1F9W,
421.9,FARGUNYAH,-35.1088,146.7904,10K1F9W,
421.775,CABRAMURRA,-35.9411,148.3890,10K1F9W,
423.7875,TEMORA,-34.475368,147.533840,10K1F9W,
421.825,HILLSTON,-33.539480,145.870175,10K1F9W,
421.7875,MT BURRA,-34.973188,147.998899,10K1F9W,
423.9875,GREEN HILLS,-35.4955,148.010052,8K10F1E,
422.1125,STATEWIDE,0.0,0.0,10K1F9W,
423.9875,GRIFFITH,-34.277103,146.057769,10K1F9W,
421.8125,BARHAM,-35.558525,144.191204,10K1F9W,
423.9125,COOKARDINIA,-35.556533,147.170655,10K1F9W,
421.9,MATHOURA,-35.800230,144.900311,10K1F9W,
423.8375,TOOLEYBUC,-35.028316,143.340009,10K1F9W,
423.9,MAUDE,-34.457443,144.349969,10K1F9W,
421.9625,TUMORRAMA,-35.239425,148.499888,10K1F9W,
423.8125,GUNDAGAI,-35.108544,148.121356,10K1F9W,
422.6125,STATEWIDE,0.0,0.0,10K1F3E,
421.875,NARRANDERA,-34.751195,146.567489,10K1F9W,
421.9625,BERRIGAN,-35.788870,145.7811,10K1F9W,
426.0125,STATEWIDE,0.0,0.0,10K1F9W,
414.6125,STATEWIDE,0.0,0.0,10K1F9W,
415.3875,STATEWIDE,0.0,0.0,10K1F9W,
